course_id,rating,reviewers,date_reviews
recruiting-hiring-onboarding-employees,3.84375,192,2016-03-30
refugees-21st-century,4.816666666666666,60,2020-02-14
remote-team-management,5.0,5,2020-09-23
removing-barriers-to-change,5.0,8,2020-07-26
renewable-energy-entrepreneurship,4.714652956298201,389,2017-07-04
reporting-extra-financier-strategie-rse,4.6415094339622645,53,2017-07-01
research-methods,4.579588728103579,1313,2015-08-12
reussir-le-changement,4.394009216589862,434,2016-03-04
revisao-sistematica,4.9211087420042645,469,2020-04-04
role-of-advertising,4.805369127516778,149,2016-11-04
roman-architecture,4.850393700787402,127,2017-04-12
sample-based-learning-methods,4.449664429530201,149,2019-09-03
sas-programming-basics,4.8808777429467085,319,2018-11-12
schedule-projects,4.7305524239007894,887,2015-08-07
schizophrenia,4.7040358744394615,223,2017-10-20
science-exercise,4.836016096579477,994,2017-06-22
sciwrite,4.919129082426127,1286,2017-09-17
sdgbusiness,4.907216494845361,97,2019-07-13
search-engine-optimization,4.585099939430648,1651,2016-02-09
self-determination-theory,4.921052631578948,76,2019-03-13
seo-fundamentals,4.719745222929936,471,2016-04-01
sequence-models-in-nlp,3.967741935483871,62,2020-07-29
site-reliability-engineering-slos,4.163265306122449,147,2019-02-15
six-sigma-organization-advanced,4.711822660098522,406,2017-09-11
six-sigma-principles,4.529531568228106,982,2017-07-24
sleep,4.694444444444445,72,2017-12-10
smart-cities,4.594594594594595,222,2017-02-28
social-economic-networks,1.0,6,2018-10-27
social-impact,4.855263157894737,228,2016-10-09
social-innovation,4.241379310344827,58,2016-09-26
social-media-marketing-introduction,4.8125,48,2020-09-18
social-psychology,4.83453237410072,1251,2018-10-28
social-work-practice-advocating-social-justice-and-change,4.8,5,2020-09-10
software-processes-and-agile-practices,4.6747352496217855,661,2015-10-28
solar-energy-basics,4.767726161369193,409,2019-06-25
songwriting-lyrics,4.75,176,2016-08-09
spanish-in-healthcare-settings,4.0,6,2019-04-23
spanish-vocabulary-meeting-people,4.518828451882845,478,2017-02-19
speak-english-professionally,4.749771689497717,2190,2016-03-14
spectroscopy,4.607843137254902,408,2017-06-14
sports-marketing,4.699074074074074,216,2018-12-09
sports-society,4.87962962962963,216,2016-01-21
sql-data-science,4.38131122833459,1327,2018-06-18
sql-for-data-science,4.494867639113992,1851,2017-11-17
